Chr Gene nSNPs Start Stop Test-Stat Pvalue Error Best-SNP SNP-pvalue
22 A4GALT 11 43088126 43116876 6.20443060911531 0.74503328826956 2.9216709536333e-14 rs5758913 0.0659299999999996
22 ACO2 3 41865128 41924993 2.75805041609993 0.402159113950978 7.49583850009165e-07 rs9619974 0.1312
22 ACR 3 51176651 51183727 3.2031412789911 0.340125701880742 1.73529569518816e-06 rs2285395 0.1181
22 ADM2 4 50920011 50924866 3.68388668842696 0.426213189744236 2.43165897125235e-08 rs131817 0.141
22 ADORA2A 5 24823529 24838325 7.85507576535171 0.196238124767376 1.02480316853687e-07 rs1547358 0.119899999999999
22 ADRBK2 17 25960860 26125258 28.2704161095366 0.0910541186215842 3.80580946499961e-14 rs133845 0.002617
22 ADSL 5 40742503 40762575 3.73683674590249 0.515395095525 1.26115758890642e-09 rs11703324 0.1699
22 AIFM3 7 21319433 21335649 2.5698587404786 0.877496981516787 1.66346327326676e-13 rs1548412 0.3186
22 ALG12 3 50296852 50312106 4.91248926810958 0.188633662852811 6.16943945085796e-06 rs1608 0.0332100000000002
22 ANKRD54 4 38226861 38240303 6.48902874383466 0.174178928162782 1.0895376241765e-07 rs929104 0.0238199999999999
22 AP1B1 6 29723668 29784569 11.0001534813697 0.12912128239153 5.63953575863373e-09 rs2267138 0.0677099999999998
22 APOBEC3A 9 39353622 39359188 8.68426099959101 0.426855868399529 4.33484657572786e-14 rs17370615 0.1452
22 APOBEC3B 10 39378404 39388783 13.5921710020143 0.219986539684712 9.7485295832123e-14 rs1969643 0.0838499999999996
22 APOBEC3C 4 39410264 39414825 5.83431275746989 0.212337616513424 6.68076081763984e-08 rs1969643 0.0838499999999996
22 APOBEC3D 5 39417117 39429256 7.41890817859669 0.197108617184295 2.1568932180053e-09 rs1969643 0.0838499999999996
22 APOBEC3F 7 39436672 39451975 10.5482340264005 0.172155601773025 2.82530644267103e-12 rs1969643 0.0838499999999996
22 APOBEC3G 6 39473135 39483748 7.89186820427352 0.245539878379521 4.53579600987375e-11 rs139275 0.094409999999999
22 APOBEC3H 7 39493289 39500000 9.17240097014948 0.242014167853276 1.97378449365547e-12 rs139275 0.094409999999999
22 APOL1 17 36649123 36663577 30.3969048831385 0.0763238750642424 4.84354588195368e-14 rs2157256 0.00604200000000002
22 APOL2 15 36622254 36636000 18.9121827348443 0.251938787116172 2.66194623744974e-14 rs735854 0.0213400000000001
22 APOL3 11 36536376 36562225 12.8355963499608 0.3029378259309 3.10081005169657e-14 rs739206 0.0131499999999999
22 APOL4 12 36585175 36600879 8.90865374886332 0.58908478155105 1.92411160615265e-14 rs132689 0.160200000000001
22 APOL5 2 36113918 36125529 2.65420675470777 0.255962192531188 6.08713521792006e-05 rs2016586 0.106700000000001
22 APOL6 3 36044423 36064456 2.64107286274812 0.411504278874119 1.69138336738982e-06 rs5750135 0.106
22 ARFGAP3 10 43192531 43253300 9.58244878627383 0.431674188653763 1.63271451536063e-14 rs5758913 0.0659299999999996
22 ARHGAP8 30 45148437 45258664 21.3002687938259 0.803649130014499 1.39110400668004e-14 rs5765061 0.0567799999999999
22 ARSA 9 51063448 51066607 14.0221708525659 0.163600743217855 2.27697228398344e-13 rs9628185 0.0343199999999999
22 ARVCF 17 19957418 20004309 13.9035039377033 0.562956467034027 6.50038267407503e-15 rs2518827 0.0445500000000002
22 ASCC2 7 30184600 30234254 9.62531393061887 0.228587347403808 4.46357321984813e-09 rs9625870 0.126099999999999
22 ASPHD2 13 26825279 26840978 6.78003426158115 0.813259336826777 2.96893761568375e-14 rs3747137 0.131499999999999
22 ATF4 4 39916568 39918691 5.09714255971011 0.268329760850378 3.49702300398466e-07 rs2092168 0.150800000000001
22 ATP6V1E1 3 18074902 18111588 1.75455582647463 0.61820261380091 3.3088098454747e-07 rs113837 0.1969
22 ATXN10 21 46067686 46240829 19.2752308990667 0.431223464541704 9.0628297021212e-15 rs5765677 0.0704100000000005
22 BAIAP2L2 7 38480895 38506676 15.2398757789789 0.0757409961678357 4.90409352732754e-11 rs6001027 0.0132000000000001
22 BCL2L13 4 18121484 18211989 1.80213663628443 0.703480297768652 9.01589328613794e-09 rs738095 0.3339
22 BCR 18 23522551 23660224 14.9700924658516 0.53979646930322 5.2444554166578e-15 rs3788358 0.0353399999999998
22 BID 9 18216905 18257258 10.2811761838316 0.318530772646392 5.49620039325994e-14 rs389496 0.1522
22 BIK 9 43506756 43525718 12.1507719006438 0.223951922936538 1.18191090803956e-13 rs8141749 0.0461300000000001
22 BPIL2 22 32810289 32853373 30.4623978232374 0.158690082241267 1.71656048709953e-14 rs5749452 0.00233099999999999
22 BRD1 9 50166936 50218452 8.30351147581896 0.411513630439696 1.43184160072576e-13 rs6009874 0.0243100000000001
22 C1QTNF6 14 37576205 37584330 9.54498634428766 0.702429641016295 1.46598464805847e-14 rs1573673 0.0745799999999998
22 C22orf13 10 24936407 24951275 10.9096642573843 0.346391180822079 1.31677366846109e-13 rs28461882 0.0521800000000002
22 C22orf15 4 24105207 24108050 0.649938694592223 0.910343617855604 2.62721642802365e-09 rs738792 0.6168
22 C22orf23 3 38339532 38349603 0.369231765588897 0.909041672518213 8.07511906773264e-08 rs139873 0.6663
22 C22orf24 5 32329506 32341336 3.7988645790871 0.526522491530036 4.79169931572544e-10 rs5994446 0.1669
22 C22orf25 18 20008630 20053447 21.5493315978369 0.28688539929272 1.60810202131985e-14 rs11089328 0.0224600000000001
22 C22orf26 5 46446338 46450024 2.89014137010743 0.646189642069953 3.04528278453619e-10 rs6008955 0.265299999999999
22 C22orf28 21 32783561 32808274 15.861051466869 0.662268542698283 1.05610634658964e-14 rs9609560 0.08529
